"Argillic horizon"|13|46|56|152|160|200||114||"23051693"|"13312614"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051694"|"13312615"
"Argillic horizon"|25|38|46|200|200|200||162||"23051694"|"13312616"
"Ochric epipedon"|0|0|0|8|17|33||||"23051698"|"13312618"
"Argillic horizon"|33|46|56|50|76|83||||"23051698"|"13312619"
"Redox depletions with chroma 2 or less"|8|17|33|203|203|203||||"23051698"|"13312617"
"Fragipan"|30|41|75|80|102|130|5|61|100|"23051699"|"13312622"
"Ochric epipedon"|0|0|0|10|18|25|10|18|25|"23051699"|"13312620"
"Argillic horizon"|10|18|25|200|200|200|175|182|190|"23051699"|"13312621"
"Redox depletions with chroma 2 or less"|28|38|71|30|41|75||3||"23051699"|"13312623"
"Ochric epipedon"|1|2|4|18|32|53||30||"23051700"|"13312624"
"Argillic horizon"|18|32|53|152|167|200||135||"23051700"|"13312625"
"Ochric epipedon"|0|0|0|10|25|38||25||"23051701"|"13312626"
"Argillic horizon"|10|25|38|200|200|200||175|200|"23051701"|"13312627"
"Ochric epipedon"|0|0|0|13|18|20||18||"23051702"|"13312628"
"Argillic horizon"|13|18|20|200|200|200||182||"23051702"|"13312629"
"Aquic conditions"|0|18|46|200|200|200||182||"23051703"|"13312632"
"Mollic epipedon"|0|0|0|13|18|38||18||"23051703"|"13312631"
"Argillic horizon"|13|18|38|200|200|200||182||"23051703"|"13312630"
"Aquic conditions"|15|25|61|200|200|200||175||"23051704"|"13312635"
"Ochric epipedon"|0|0|0|13|20|25||20||"23051704"|"13312633"
"Argillic horizon"|13|20|30|200|200|200||180||"23051704"|"13312634"
"Ochric epipedon"|0|0|0|40|46|50|40|46|50|"23051705"|"13312636"
"Argillic horizon"|40|46|50|200|200|200|150|154|160|"23051705"|"13312637"
"Fragipan"|38|64|74|61|81|127||17||"23051706"|"13312641"
"Ochric epipedon"|0|0|0|20|28|36||28||"23051706"|"13312638"
"Argillic horizon"|20|28|36|200|200|200||172||"23051706"|"13312639"
"Redox depletions with chroma 2 or less"|30|44|61|38|64|74||20||"23051706"|"13312640"
"Fragipan"|46|53|84|76|76|152|20|23|76|"23051707"|"13312642"
"Ochric epipedon"|0|0|0|13|15|20|15|15|30|"23051707"|"13312643"
"Argillic horizon"|13|15|20|200|200|200||185||"23051707"|"13312645"
"Redox depletions with chroma 2 or less"|38|51|76|46|53|84||2||"23051707"|"13312644"
"Ochric epipedon"|0|0|0|13|18|20||18||"23051708"|"13312646"
"Argillic horizon"|13|18|20|200|200|200||182||"23051708"|"13312647"
"Ochric epipedon"|0|0|0|11|28|38||28||"23051709"|"13312649"
"Argillic horizon"|11|28|38|200|200|200||172||"23051709"|"13312650"
"Strongly contrasting particle size class"|26|43|99|||||||"23051709"|"13312648"
"Lithic contact"|102|142|152|||||||"23051710"|"13312654"
"Ochric epipedon"|0|0|0|15|28|61||28||"23051710"|"13312651"
"Argillic horizon"|15|28|61|102|142|152||114||"23051710"|"13312652"
"Redox depletions with chroma 2 or less"|61|76|91|102|142|152||66||"23051710"|"13312653"
"Ochric epipedon"|0|0|0|5|30|36||30||"23051711"|"13312655"
"Argillic horizon"|5|30|36|152|157|200||127||"23051711"|"13312656"
"Ochric epipedon"|0|0|0|8|33|61||33||"23051712"|"13312658"
"Argillic horizon"|8|33|61|200|200|200||167||"23051712"|"13312659"
"Strongly contrasting particle size class"|41|84|99|||||||"23051712"|"13312657"
"Ochric epipedon"|0|0|0|13|18|20||18||"23051713"|"13312660"
"Argillic horizon"|13|18|20|200|200|200||182||"23051713"|"13312661"
"Ochric epipedon"|1|2|4|20|23|41|20|21|41|"23051714"|"13312663"
"Argillic horizon"|20|23|41|200|200|200|160|177|180|"23051714"|"13312662"
"Ochric epipedon"|0|0|0|15|28|48|15|28|48|"23051715"|"13312664"
"Argillic horizon"|15|28|48|200|200|200|46|172|183|"23051715"|"13312665"
"Lithic contact"|102|142|152|||||||"23051716"|"13312666"
"Ochric epipedon"|0|0|0|15|28|61||28||"23051716"|"13312667"
"Argillic horizon"|15|28|61|102|142|152||114||"23051716"|"13312668"
"Redox depletions with chroma 2 or less"|61|76|91|102|142|152||66||"23051716"|"13312669"
"Fragipan"|46|53|71|76|86|132|15|33|74|"23051717"|"13312672"
"Ochric epipedon"|0|0|0|5|18|25|5|18|25|"23051717"|"13312673"
"Argillic horizon"|5|18|25|200|200|200|180|182|198|"23051717"|"13312670"
"Redox depletions with chroma 2 or less"|41|48|66|46|53|71||5||"23051717"|"13312671"
"Ochric epipedon"|0|0|0|8|33|61||33||"23051718"|"13312675"
"Argillic horizon"|8|33|61|152|152|200||119||"23051718"|"13312676"
